/community/alex.ho/370617//,,03-12,Marin Ultra Challenge 2016 - 50 Km ,51km / 2175m+,Finisher,United States,-
/community/alex.ho/370617//,2015-,06-05,Bryce Canyon 2015 - 100 Mile ,159.4km / 4800m+,Finisher,United States,Yes
/community/alex.ho/370617//,2014-,08-27,Ultra-Trail Du Mont-Blanc® 2014 - Tds® ,119.1km / 7350m+,Finisher,France,-
/community/alex.ho/370617//,,07-19,Tahoe Rim Trail Endurance Run 2014 - 100 Mile ,161km / 6025m+,Finisher,United States,-
/community/alex.ho/370617//,,05-17,Bishop High Sierra 2014 - Bishop High Sierra Ultra-Marathons 100 Km ,100km / 3050m+,Finisher,United States,-
/community/alex.ho/370617//,,03-15,Marin Ultra Challenge 2014 - 50 Km ,51km / 2175m+,Finisher,United States,-
/community/alex.ho/370617//,2013-,12-07,The North Face Endurance Challenge California 2013 - 50M ,80km / 3050m+,Finisher,United States,-
/community/alex.ho/370617//,,11-16,Mt. Tam Trail Run 2013 - Mt. Tam Trail Run 50Km ,47km / 2075m+,Finisher,United States,-
/community/alex.ho/370617//,,06-08,San Diego 100 2013 ,160.9km / 4800m+,Finisher,United States,-
/community/alex.ho/370617//,2011-,12-03,The North Face Endurance Challenge California 2011 - 50M ,77km / 3050m+,Finisher,United States,-
/community/alex.ho/2488903//,2018-,11-16,Oxfam Trailwalker Hong Kong 2018 ,100.6km / 4725m+,Finisher,"Hong Kong, China",Yes
/community/ambrose chun pong.ho/2416363//,2018-,10-06,Totem Run 2018 ,42.6km / 2100m+,Finisher,"Hong Kong, China",Yes
